Avg. Viewers (mil),Year,Data,Episodes,Most watched episode,Viewers (mil)
27.8,1990,Actual,13,"""Life on the Fast Lane""",33.5
24.4,1991,Actual,22,"""Bart Gets an F""",33.6
21.8,1992,Actual,24,"""Colonel Homer""",25.5
22.4,1993,Actual,22,"""Lisa's First Word""",28.6
18.9,1994,Actual,22,"""Treehouse of Horror IV""",24.0
15.6,1995,Actual,25,"""Treehouse of Horror V""",22.2
15.1,1996,Actual,25,"""Treehouse of Horror VI""",19.7
14.5,1997,Actual,25,"""The Springfield Files""",20.9
16.3,1998,Actual,25,"""The Two Mrs. Nahasapeemapetilons""",19.8
15.9,1999,Estimated,23,"""Maximum Homerdrive""",15.5
15.1,2000,Estimated,22,"""The Mansion Family""",18.4
15.5,2001,Actual,21,"""Worst Episode Ever""",18.6
12.5,2002,Actual,22,"""The Parent Rap""",14.9
14.4,2003,Actual,22,"""I'm Spelling as Fast as I Can""",22.1
11,2004,Actual,22,"""I, (Annoyed Grunt)-Bot""",16.3
10.2,2005,Actual,21,"""Homer and Ned's Hail Mary Pass""",23.1
9.6,2006,Actual,22,"""Treehouse of Horror XVI""",11.6
9.2,2007,Actual,22,"""The Wife Aquatic""",13.9
8.4,2008,Actual,20,"""Treehouse of Horror XVIII""",11.7
7.1,2009,Actual,21,"""Treehouse of Horror XIX""",12.4
7.1,2010,Actual,23,"""Once Upon a Time in Springfield""",14.6
7.1,2011,Actual,22,"""Moms I'd Like to Forget""",12.6
6.2,2012,Actual,22,"""The D'oh-cial Network""",11.5
5.4,2013,Actual,22,"""Homer Goes to Prep School""",9.0
5,2014,Actual,22,"""Steal This Episode""",12.0
